F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,eyeDetection,AF_PCA_Component
4003.59,4262.56,4136.92,4340.51,4605.13,4096.41,4619.49,4197.44,4214.36,4193.33,4270.77,4607.18,0,-0.15348938629841863
4006.15,4265.64,4131.79,4329.23,4604.62,4088.72,4612.82,4194.87,4211.79,4196.92,4276.41,4613.85,0,0.37931437103344207
4018.97,4283.08,4142.05,4337.95,4600.0,4084.1,4608.72,4201.54,4226.67,4215.38,4293.33,4629.74,0,1.676170192081
4019.49,4289.74,4151.79,4345.13,4596.92,4083.08,4613.85,4211.28,4244.62,4224.1,4300.51,4635.9,0,2.0200865126677705
4008.21,4281.03,4141.03,4334.36,4602.05,4084.62,4618.97,4212.82,4242.05,4213.33,4289.74,4625.64,0,0.9522166927913325
4000.51,4274.87,4131.79,4331.79,4603.08,4086.67,4622.05,4209.23,4228.72,4204.1,4280.0,4614.36,0,0.18890840239059467
4003.08,4278.97,4140.0,4346.15,4600.0,4086.15,4623.59,4207.18,4231.28,4207.18,4284.1,4617.95,0,0.6090605629597289
4005.13,4281.54,4143.08,4348.21,4605.64,4089.23,4624.1,4207.18,4231.28,4211.79,4288.72,4623.08,0,1.220180164114804
4001.54,4277.95,4136.92,4338.46,4609.74,4091.79,4631.28,4214.36,4227.18,4211.79,4288.72,4624.62,0,1.3524066174733242
4004.1,4278.97,4137.44,4340.0,4602.56,4087.69,4635.9,4220.0,4235.38,4218.46,4291.79,4630.77,0,1.3130518263622544
4008.21,4276.92,4142.05,4343.08,4602.05,4084.1,4631.79,4218.97,4237.44,4225.13,4293.33,4631.79,0,1.1419522914237337
4004.62,4264.62,4136.92,4338.97,4608.72,4085.13,4629.23,4215.9,4230.26,4217.95,4286.67,4622.56,0,0.8382370742227675
4002.05,4260.0,4130.26,4345.13,4607.69,4082.05,4626.15,4208.21,4231.28,4210.77,4278.46,4617.44,0,0.85696746815637
4001.54,4260.0,4127.69,4356.92,4604.62,4080.51,4616.92,4198.97,4232.31,4211.79,4275.38,4622.05,0,0.7042090982474931
4002.05,4250.26,4123.08,4350.77,4606.67,4085.13,4614.87,4196.41,4223.59,4210.26,4271.79,4621.54,0,0.39935636933264157
4005.64,4250.26,4124.62,4343.08,4607.18,4082.56,4620.51,4197.95,4223.59,4208.21,4272.82,4616.41,0,0.5708432835625442
4007.69,4261.54,4134.36,4352.82,4606.15,4078.46,4624.1,4200.51,4231.79,4212.82,4282.56,4615.9,0,0.6851077424627162
4003.08,4258.46,4131.28,4352.31,4606.15,4076.41,4624.1,4206.15,4233.33,4212.31,4283.59,4614.36,0,0.18966674353321886
3997.44,4245.13,4118.97,4335.38,4602.56,4075.38,4620.0,4204.1,4225.64,4203.59,4270.77,4609.23,0,-0.24901709215747805
3998.46,4244.1,4120.0,4333.85,4600.0,4076.41,4612.31,4193.33,4220.0,4202.56,4265.13,4607.69,0,0.11324039345893633
4004.1,4253.33,4125.13,4345.64,4601.54,4080.51,4610.77,4192.31,4224.1,4208.72,4273.33,4611.28,0,0.6852900438345484
4002.05,4260.51,4120.51,4343.59,4603.59,4085.13,4618.46,4195.38,4219.49,4209.74,4279.49,4611.79,0,0.6851077424627162
3998.97,4262.56,4118.97,4337.44,4603.59,4082.05,4619.49,4195.38,4218.97,4211.28,4284.1,4614.87,0,0.36124162889523187
4005.13,4262.05,4122.56,4341.03,4599.49,4078.46,4614.36,4202.05,4235.38,4218.46,4289.23,4625.13,0,0.5319702019825441
4009.74,4263.59,4124.62,4349.23,4599.49,4084.62,4620.0,4209.74,4243.08,4223.08,4288.72,4628.21,0,0.9705597074335192
4005.13,4268.72,4123.59,4349.74,4606.67,4093.33,4629.23,4208.21,4236.41,4223.59,4290.77,4627.18,0,1.2383326686651053
4003.08,4272.31,4123.08,4345.13,4611.79,4092.82,4629.74,4213.85,4242.05,4225.13,4295.9,4632.82,0,1.4859610926376494
4005.13,4269.23,4121.54,4344.62,4607.18,4088.72,4628.72,4221.03,4245.13,4224.1,4291.79,4632.31,0,1.3895807153962778
4002.05,4261.03,4117.95,4345.64,4601.03,4087.18,4624.62,4209.23,4231.79,4215.9,4283.08,4623.08,0,0.7411926860785275
4001.54,4262.05,4121.03,4342.56,4600.51,4085.13,4618.97,4200.51,4228.72,4209.23,4284.1,4616.92,0,0.37987584297656946
4007.18,4265.64,4126.15,4341.54,4603.08,4088.21,4620.0,4202.05,4231.79,4211.28,4286.15,4615.9,0,0.5330133834567415
4004.1,4255.38,4117.95,4337.95,4602.05,4089.74,4620.51,4197.95,4220.51,4209.74,4278.97,4610.26,0,0.17027418830925703
3992.31,4245.13,4105.64,4328.72,4600.51,4087.18,4618.97,4201.03,4214.87,4203.59,4272.31,4605.13,0,-0.2694528288556034
3993.85,4246.67,4110.77,4332.82,4604.1,4086.67,4625.64,4212.31,4228.72,4206.67,4277.44,4609.23,0,-0.021830763990569404
4007.18,4250.26,4117.95,4345.13,4606.15,4085.13,4627.18,4208.21,4237.44,4215.9,4284.62,4618.46,0,0.4739875558976802
4009.23,4252.31,4116.92,4342.05,4601.54,4078.97,4618.97,4198.46,4230.77,4213.85,4284.62,4617.95,0,0.7034571162124468
4002.56,4261.03,4120.51,4334.36,4597.95,4074.87,4618.46,4202.56,4225.64,4210.77,4284.62,4611.28,0,0.6276947770410665
4003.59,4265.64,4118.46,4342.05,4601.54,4079.49,4623.59,4207.69,4224.62,4215.9,4288.72,4614.87,0,0.7034571162124468
4007.69,4256.92,4110.26,4343.08,4604.62,4084.62,4622.05,4206.67,4228.72,4219.49,4289.23,4623.08,0,0.8561129471615487
4005.13,4250.77,4114.36,4330.26,4601.03,4084.1,4614.36,4199.49,4231.28,4213.33,4288.21,4618.97,0,0.45582869223986866
3996.92,4249.74,4120.0,4328.72,4597.44,4077.95,4607.18,4191.79,4226.15,4204.1,4283.59,4606.15,0,-0.3831476070925612
3991.79,4242.56,4110.26,4333.33,4596.41,4073.33,4605.64,4192.82,4217.44,4200.51,4274.36,4601.54,0,-0.5359939481335823
3991.28,4232.31,4102.05,4330.26,4597.95,4078.46,4613.33,4201.54,4220.0,4204.1,4272.82,4609.23,0,-0.0022495482872990683
3991.28,4230.77,4104.62,4326.67,4600.0,4087.69,4629.74,4212.82,4230.26,4209.23,4276.41,4615.38,0,-0.17373646251716796
3989.74,4230.77,4101.03,4327.18,4602.05,4091.28,4640.0,4218.46,4236.41,4209.74,4273.33,4610.77,0,-0.6308640021972496
3994.87,4229.23,4102.05,4328.72,4598.46,4083.59,4629.23,4212.31,4235.38,4206.15,4273.85,4607.69,0,-0.19180099593525748
4001.54,4235.9,4115.38,4332.31,4592.82,4073.33,4611.28,4196.92,4228.72,4206.15,4279.49,4611.28,0,0.28453043848934223
3996.41,4241.03,4116.92,4332.82,4590.77,4069.74,4607.69,4189.23,4223.59,4209.23,4277.95,4610.26,0,-0.0209780926083248
3992.82,4235.38,4107.69,4328.21,4593.33,4069.23,4610.77,4191.28,4215.38,4204.1,4271.79,4603.08,0,-0.3639455619605523
4001.54,4232.82,4106.15,4329.23,4592.82,4065.64,4609.23,4192.82,4211.28,4196.41,4278.46,4604.1,0,0.01780065873202099
4007.69,4235.9,4112.31,4330.77,4589.74,4065.13,4611.28,4193.33,4217.95,4203.08,4286.15,4608.21,0,0.47578271940692407
4003.08,4236.41,4110.77,4327.69,4592.82,4076.92,4618.97,4195.38,4217.95,4207.18,4279.49,4602.56,0,0.34195161263107876
4000.0,4231.79,4106.15,4325.13,4599.49,4081.03,4620.0,4196.92,4214.36,4202.05,4274.36,4598.97,0,-0.001489357532165881
4007.69,4232.82,4109.74,4326.67,4598.97,4072.31,4611.79,4195.9,4221.03,4203.59,4278.97,4606.67,0,0.43672733645509176
4020.0,4240.51,4116.41,4330.26,4598.97,4072.31,4610.77,4199.49,4226.67,4207.69,4282.56,4606.15,0,1.61970607789386
4029.23,4245.13,4120.0,4330.26,4602.05,4077.95,4618.97,4207.69,4221.54,4205.64,4283.08,4603.59,0,2.669415184499943
4044.62,4250.77,4130.26,4332.82,4594.36,4070.26,4615.9,4201.54,4218.97,4208.21,4286.15,4616.92,0,3.699176623046482
3944.62,4248.72,4093.85,4332.31,4613.33,4098.46,4633.85,4221.54,4245.64,4237.44,4303.08,4651.28,1,0.05336189451759657
3951.28,4255.9,4101.54,4329.23,4610.26,4091.28,4622.05,4205.64,4243.08,4241.54,4309.74,4653.33,1,0.5498378662012384
3945.13,4249.23,4092.31,4330.26,4610.26,4104.62,4638.46,4223.08,4236.92,4231.79,4303.08,4648.72,1,0.05374106508889181
3944.62,4253.33,4093.85,4326.15,4615.9,4103.59,4632.31,4224.62,4233.33,4224.1,4301.54,4630.77,1,0.015714295783626143
3956.92,4258.97,4103.59,4331.28,4614.87,4103.08,4633.33,4223.08,4238.46,4226.15,4305.13,4640.51,1,0.9692316856277144
3962.05,4262.56,4108.21,4339.49,4621.54,4103.59,4637.95,4221.54,4243.08,4234.87,4312.82,4655.38,1,2.132350730139149
3966.67,4251.79,4090.26,4326.15,4624.62,4102.05,4614.36,4195.9,4221.03,4224.1,4296.92,4648.72,1,3.202313272071492
3962.56,4249.23,4087.69,4325.64,4628.72,4104.62,4618.97,4202.05,4218.97,4225.64,4298.46,4647.18,1,3.2784484227066235
3969.23,4257.44,4094.87,4330.26,4626.15,4105.13,4628.72,4217.95,4228.72,4234.36,4304.1,4653.33,1,3.7930914667681637
3976.41,4264.62,4099.49,4333.33,4621.54,4101.54,4629.74,4219.49,4233.33,4238.46,4308.72,4653.85,1,3.926828243304321
3980.0,4264.1,4104.1,4335.38,4624.1,4098.97,4618.97,4208.21,4232.82,4242.05,4311.79,4656.92,1,4.384060171556721
3969.74,4263.08,4093.85,4326.15,4614.36,4091.79,4611.79,4204.62,4229.23,4240.51,4312.82,4654.87,1,3.8121928225529405
3973.85,4264.1,4092.82,4324.62,4616.92,4095.9,4623.08,4209.74,4230.77,4236.92,4314.87,4652.31,1,4.04109270220446
3972.82,4265.13,4095.38,4327.69,4618.97,4104.1,4632.82,4215.9,4236.41,4238.46,4312.82,4653.85,1,3.9460321380488725
3971.79,4265.13,4092.31,4326.67,4618.97,4100.0,4626.15,4205.64,4227.69,4238.46,4309.74,4654.36,1,3.679111848199599
3973.85,4265.64,4092.31,4323.59,4615.38,4093.85,4622.05,4198.97,4221.03,4236.41,4309.74,4652.31,1,3.8121928225529405
3972.82,4265.13,4098.46,4326.67,4615.38,4097.95,4629.74,4207.69,4226.67,4235.9,4311.79,4647.69,1,3.92626677136116
3973.33,4264.1,4100.51,4334.87,4620.51,4103.08,4631.28,4207.18,4232.82,4237.95,4314.36,4650.77,1,3.8691386462711175
3964.1,4261.03,4089.74,4330.77,4630.26,4111.28,4641.03,4232.82,4243.08,4242.05,4309.74,4655.9,1,3.0103026500113197
3968.21,4268.21,4094.36,4328.72,4618.97,4106.67,4636.41,4220.0,4240.51,4238.46,4312.31,4648.21,1,3.1260692233690417
3959.49,4261.03,4088.21,4327.18,4617.44,4105.13,4631.28,4207.18,4233.85,4231.28,4306.15,4642.56,1,2.5720859560240963
3962.56,4260.0,4088.72,4327.69,4621.03,4103.08,4631.79,4206.67,4230.26,4226.67,4307.69,4639.49,1,2.305442297786376
3972.82,4265.13,4094.87,4332.31,4621.54,4105.13,4641.54,4226.15,4234.36,4233.85,4309.74,4645.13,1,2.515146491413396
3974.87,4268.21,4098.46,4335.38,4621.03,4109.23,4644.62,4232.31,4242.05,4237.44,4308.21,4649.74,1,2.87712734541829
3967.18,4264.62,4093.33,4333.85,4627.18,4113.33,4640.0,4214.36,4236.92,4229.74,4302.05,4646.15,1,2.648504097378326
3970.26,4264.62,4093.33,4331.28,4630.77,4114.87,4638.97,4208.21,4225.64,4227.69,4303.08,4644.62,1,2.743564661533912
3985.13,4272.31,4105.13,4334.36,4625.13,4112.31,4636.41,4221.54,4232.82,4239.49,4314.36,4652.82,1,3.716095436030667
3978.97,4271.28,4105.64,4335.38,4627.69,4110.26,4632.82,4214.36,4239.49,4242.05,4313.33,4656.92,1,3.5259743077194265
3975.38,4264.62,4101.03,4343.08,4635.9,4109.23,4636.41,4215.38,4236.41,4236.41,4312.31,4645.13,1,2.8587779716685593
3975.9,4263.08,4103.59,4344.62,4635.38,4105.13,4632.82,4205.13,4223.08,4227.18,4302.05,4634.87,1,2.4202764373497287
3990.26,4262.56,4110.77,4343.59,4628.72,4102.56,4630.26,4216.41,4223.08,4227.18,4297.95,4635.38,1,2.7447983531000286
3995.38,4264.1,4110.77,4342.56,4622.56,4100.0,4630.77,4225.13,4232.82,4231.79,4303.08,4637.95,1,3.0312055284129187
3984.62,4265.13,4102.05,4335.38,4624.62,4102.56,4640.0,4222.05,4239.49,4234.36,4306.67,4642.05,1,2.97359569379184
3980.0,4264.1,4098.97,4331.79,4629.23,4108.21,4646.15,4224.1,4240.51,4237.44,4305.64,4644.1,1,2.896417361682443
3989.74,4265.13,4106.67,4337.44,4623.59,4105.13,4631.28,4214.87,4235.38,4235.38,4305.13,4641.54,1,2.9729398916089904
3994.36,4266.15,4110.26,4339.49,4617.95,4096.92,4610.26,4191.28,4226.67,4228.72,4305.64,4635.9,1,2.8780679879327464
3986.15,4263.59,4102.05,4336.41,4623.59,4099.49,4612.82,4190.77,4223.08,4223.59,4305.13,4627.69,1,2.6873853876783786
3976.41,4260.51,4096.92,4333.33,4628.21,4109.23,4628.72,4208.21,4223.59,4223.08,4304.1,4626.15,1,2.8398589172556146
3983.08,4266.15,4102.05,4332.31,4625.64,4108.72,4633.33,4209.74,4222.05,4223.59,4303.08,4632.82,1,3.221320297616581
4000.51,4276.92,4108.21,4337.44,4625.13,4102.56,4631.28,4210.26,4225.13,4226.15,4303.08,4634.36,1,3.698125232852232
4007.69,4281.54,4114.36,4343.08,4628.21,4105.13,4633.85,4225.64,4232.31,4234.87,4309.74,4638.97,1,4.613339221779535
4007.69,4274.36,4118.46,4342.56,4631.28,4102.05,4623.08,4203.59,4224.1,4226.67,4301.54,4632.82,1,3.794419488573934
4003.59,4274.36,4114.36,4338.97,4633.33,4109.74,4626.15,4211.28,4224.1,4227.69,4305.64,4633.85,1,4.156297803619087
4004.1,4275.9,4116.92,4333.85,4625.64,4107.18,4625.13,4205.64,4227.69,4232.31,4305.64,4635.38,1,3.9849134283489596
4003.59,4273.85,4108.21,4332.82,4630.77,4107.69,4627.69,4210.77,4229.23,4237.44,4306.67,4638.97,1,4.079404311841299
3995.38,4277.95,4112.31,4333.33,4627.69,4103.08,4628.72,4206.67,4218.46,4208.21,4306.15,4629.23,1,3.6607624744498684
3991.79,4275.9,4114.87,4332.31,4623.08,4100.51,4622.56,4207.69,4218.46,4194.36,4303.59,4621.03,1,3.3937478543609063
3997.44,4270.26,4120.0,4337.95,4624.1,4101.54,4626.67,4214.36,4227.18,4194.36,4301.03,4624.62,1,3.1270180746035847
3993.33,4264.62,4112.82,4338.46,4632.82,4105.13,4636.41,4222.05,4233.33,4194.87,4300.0,4625.64,1,2.821698203985294
3985.13,4263.59,4102.56,4334.36,4635.38,4106.15,4632.31,4222.56,4231.28,4192.31,4302.56,4618.97,1,2.859812944422704
3986.15,4263.59,4103.59,4333.33,4631.79,4108.21,4631.28,4223.59,4231.28,4191.28,4301.54,4617.44,1,2.916285267329897
3991.79,4263.59,4108.21,4336.92,4633.85,4112.82,4641.03,4222.56,4234.87,4189.74,4303.08,4623.08,1,2.687291057438691
3988.72,4264.1,4105.64,4334.87,4633.33,4112.82,4638.46,4211.79,4230.26,4189.74,4306.67,4625.64,1,2.4585798382665485
3982.05,4264.62,4103.59,4327.69,4624.62,4107.18,4626.15,4207.18,4219.49,4188.21,4303.59,4623.08,1,2.4967027874240113
3984.62,4264.62,4105.64,4327.69,4621.03,4103.59,4629.74,4214.87,4220.51,4181.54,4298.97,4619.49,1,2.51571617207661
3986.67,4267.18,4106.67,4333.33,4625.13,4104.1,4640.51,4223.08,4229.23,4182.56,4302.56,4622.05,1,2.5729386274063746
3983.08,4267.18,4106.15,4330.77,4624.62,4102.56,4638.46,4220.51,4226.15,4184.1,4302.05,4623.08,1,2.5918576818192856
3983.59,4264.1,4104.62,4326.15,4618.46,4096.92,4628.72,4206.15,4217.95,4179.49,4294.87,4615.38,1,2.4206556079210575
3989.74,4265.64,4108.21,4330.77,4616.92,4093.85,4621.54,4200.51,4216.92,4180.51,4297.44,4615.9,1,2.6304459230677124
3992.82,4268.72,4115.9,4334.36,4617.44,4095.9,4619.49,4206.67,4224.1,4187.18,4304.62,4623.08,1,3.0120098423884194
3988.72,4266.15,4112.82,4329.74,4616.41,4092.82,4618.97,4208.21,4227.18,4184.62,4302.05,4621.03,1,2.631300444062534
3985.13,4262.56,4104.62,4325.64,4616.41,4091.28,4622.05,4207.18,4222.56,4177.44,4294.87,4614.87,1,2.020654343718408
3987.69,4263.08,4107.69,4327.69,4616.41,4097.95,4626.67,4207.18,4216.92,4176.41,4292.31,4614.36,1,2.0775938083291083
3990.77,4264.62,4112.82,4329.23,4614.36,4103.08,4627.18,4201.54,4214.36,4175.9,4293.33,4612.31,1,2.3450819292290195
3989.23,4264.62,4108.21,4325.64,4616.92,4107.18,4627.69,4202.05,4211.79,4169.74,4293.33,4608.72,1,2.0782578192320105
3984.1,4263.59,4104.62,4325.13,4624.62,4113.33,4632.31,4212.82,4210.26,4161.54,4293.33,4607.18,1,1.696322938060061
3983.59,4262.56,4107.18,4328.21,4622.56,4110.77,4640.0,4224.1,4222.05,4164.62,4295.38,4608.72,1,1.7718947671395224
3987.69,4264.1,4107.69,4330.77,4617.44,4104.62,4644.62,4227.18,4233.33,4175.9,4300.0,4615.38,1,2.2676123976805735
3985.13,4266.15,4107.69,4331.28,4624.62,4107.69,4637.95,4215.38,4227.69,4178.46,4302.56,4616.92,1,2.172931004096249
3978.46,4268.72,4107.69,4331.28,4628.72,4111.28,4626.15,4206.15,4216.41,4169.74,4297.44,4608.72,1,1.6964172682997494
3980.51,4270.26,4109.74,4332.31,4622.56,4107.69,4623.59,4208.72,4213.33,4165.13,4294.87,4604.1,1,1.829498242653091
3987.69,4266.67,4113.85,4335.9,4624.1,4104.62,4623.08,4207.18,4215.9,4171.28,4298.46,4610.26,1,2.057916412773573
3988.21,4262.56,4113.33,4339.49,4627.69,4102.56,4624.1,4211.28,4220.0,4175.38,4300.0,4617.44,1,1.9055372134359918
3983.08,4261.54,4107.18,4337.44,4621.03,4099.49,4630.77,4216.92,4224.62,4174.87,4297.95,4617.44,1,1.6765493626522954
3983.59,4261.03,4105.64,4331.28,4615.38,4096.92,4629.74,4209.74,4220.51,4172.31,4297.44,4614.87,1,1.5239815028353372
3983.08,4263.08,4105.64,4327.69,4616.41,4095.9,4624.62,4204.62,4212.82,4167.69,4296.41,4612.31,1,1.3523122872336024
3978.46,4264.1,4103.08,4329.74,4616.41,4097.95,4626.15,4210.77,4212.82,4166.67,4293.33,4608.72,1,1.5051649873821675
3980.51,4256.41,4101.03,4330.26,4623.08,4101.54,4632.31,4216.92,4221.54,4170.77,4291.28,4609.74,1,1.6771190433155094
3984.62,4246.15,4095.9,4330.77,4630.77,4106.67,4638.46,4219.49,4227.69,4172.82,4289.23,4616.41,1,1.543089217727692
3981.03,4248.21,4093.85,4334.87,4626.15,4107.69,4640.0,4223.08,4227.18,4173.33,4289.74,4619.49,1,1.7336774877423378
3979.49,4257.44,4096.92,4329.74,4615.38,4097.44,4631.79,4218.97,4225.64,4173.85,4291.79,4616.41,1,2.001356118734202
3978.46,4254.87,4091.79,4320.0,4608.21,4086.67,4622.05,4212.31,4221.03,4166.15,4287.69,4610.26,1,1.6205523901686278
3975.9,4249.23,4087.18,4324.62,4608.21,4086.67,4621.03,4211.28,4221.03,4160.51,4283.08,4605.13,1,0.9904257634684304
3981.54,4242.05,4090.77,4334.36,4613.85,4092.31,4625.13,4213.33,4225.64,4164.1,4282.56,4606.67,1,0.8566826278247629
3983.08,4235.9,4088.21,4331.28,4616.92,4091.28,4628.21,4213.85,4225.64,4167.18,4283.08,4611.28,1,0.8946068581702536
3972.31,4241.54,4083.08,4328.72,4616.92,4090.26,4630.77,4211.28,4223.59,4170.77,4285.64,4611.79,1,0.8557337765902198
3969.23,4248.72,4088.72,4332.82,4619.49,4094.36,4632.31,4210.77,4223.59,4174.87,4292.31,4608.72,1,1.1232218974901649
3977.95,4254.36,4092.31,4330.77,4620.0,4093.85,4629.23,4210.77,4223.59,4173.85,4297.95,4609.74,1,1.6574416477599743
3981.03,4260.51,4090.77,4329.74,4615.38,4093.33,4631.28,4218.97,4226.67,4177.95,4303.08,4616.92,1,1.8282645510869746
3978.97,4257.95,4090.77,4331.79,4620.51,4100.51,4644.62,4231.79,4235.9,4187.69,4305.64,4623.08,1,1.4467088404863204
3981.54,4253.33,4091.79,4331.28,4625.13,4108.72,4651.79,4230.77,4240.51,4187.18,4304.62,4622.56,1,1.1802556923405534
3984.62,4260.51,4091.79,4330.26,4620.0,4107.18,4645.64,4225.64,4240.51,4181.54,4302.56,4621.54,1,1.4276954558336874
3977.95,4264.62,4087.69,4330.77,4618.97,4105.13,4641.54,4220.0,4234.87,4181.03,4301.54,4621.03,1,1.656587126765153
3972.82,4258.46,4085.64,4332.31,4623.59,4108.21,4642.05,4214.87,4227.69,4180.51,4302.05,4620.0,1,1.6949867075342038
3976.41,4253.33,4090.26,4333.85,4619.49,4103.59,4635.9,4217.44,4229.74,4178.97,4302.05,4619.49,1,1.4852970817347135
3979.49,4249.23,4091.28,4334.36,4612.82,4097.95,4628.72,4218.97,4232.31,4176.41,4294.36,4618.97,1,1.1615271480195275
3978.97,4248.21,4089.23,4335.38,4614.87,4100.0,4627.18,4207.69,4228.72,4170.26,4286.15,4618.46,1,1.1610600063160206
